CP,Colonia,alcaldía
1000,San Ángel,Álvaro Obregón
1010,Los Alpes,Álvaro Obregón
1020,Guadalupe Inn,Álvaro Obregón
1030,Axotla,Álvaro Obregón
1030,Florida,Álvaro Obregón
1040,Campestre,Álvaro Obregón
1049,Tlacopac,Álvaro Obregón
1050,Ex-Hacienda de Guadalupe Chimalistac,Álvaro Obregón
1060,Altavista,Álvaro Obregón
1060,San Ángel Inn,Álvaro Obregón
1070,Chimalistac,Álvaro Obregón
1080,Progreso Tizapan,Álvaro Obregón
1089,Ermita Tizapan,Álvaro Obregón
1090,La Otra Banda,Álvaro Obregón
1090,Loreto,Álvaro Obregón
1090,Tizapan,Álvaro Obregón
1180,Carola,Álvaro Obregón
1180,8 de agosto,Álvaro Obregón
1180,San Pedro de los Pinos,Álvaro Obregón
1219,Lomas de Santa Fe,Álvaro Obregón
1330,Paseo de las Lomas,Álvaro Obregón
1420,Sacramento,Álvaro Obregón
1420,Santa María Nonoalco,Álvaro Obregón
1460,Alfonso XIII,Álvaro Obregón
1470,Alfalfar,Álvaro Obregón
1470,Molino de Rosas,Álvaro Obregón
1480,Lomas de Plateros,Álvaro Obregón
1490,La Cascada,Álvaro Obregón
1566,Hueytlale,Álvaro Obregón
1569,Reacomodo Valentín Gómez Farías,Álvaro Obregón
1560,Ave Real,Álvaro Obregón
1560,Canutillo,Álvaro Obregón
1560,Canutillo 3a Sección,Álvaro Obregón
1560,Canutillo 2a Sección,Álvaro Obregón
1588,Tarango,Álvaro Obregón
1590,El Rincón,Álvaro Obregón
1600,Merced Gómez,Álvaro Obregón
1700,La Joyita del Pueblo Tetelpan,Álvaro Obregón
1700,Ocotillos del Pueblo Tetelpan,Álvaro Obregón
1700,San Agustín del Pueblo Tetelpan,Álvaro Obregón
1700,2a Del Moral del Pueblo Tetelpan,Álvaro Obregón
1700,Tecalcapa del Pueblo Tetelpan,Álvaro Obregón
1700,Tetelpan,Álvaro Obregón
1710,Las Águilas,Álvaro Obregón
1710,Ampliación Alpes,Álvaro Obregón
1720,Lomas de Guadalupe,Álvaro Obregón
1730,Lomas de las Águilas,Álvaro Obregón
1730,Puente Colorado,Álvaro Obregón
1740,La Peñita del Pueblo Tetelpan,Álvaro Obregón
1740,San Clemente Norte,Álvaro Obregón
1740,San Clemente Sur,Álvaro Obregón
1750,Las Águilas 1a Sección,Álvaro Obregón
1750,Las Águilas 2o Parque,Álvaro Obregón
1750,Las Águilas 3er Parque,Álvaro Obregón
1759,Ampliación Las Águilas,Álvaro Obregón
1760,Atlamaya,Álvaro Obregón
1760,Flor de María,Álvaro Obregón
1760,La Herradura del Pueblo Tetelpan,Álvaro Obregón
1780,Olivar de los Padres,Álvaro Obregón
1780,Tizampampano del Pueblo Tetelpan,Álvaro Obregón
1790,Lomas de los Ángeles del Pueblo Tetelpan,Álvaro Obregón
1790,Lomas de San Ángel Inn,Álvaro Obregón
1810,Villa Verdún,Álvaro Obregón
1820,Lomas Axomiatla,Álvaro Obregón
1820,Ejido San Mateo,Álvaro Obregón
1840,Torres de Potrero,Álvaro Obregón
1849,Rincón de la Bolsa,Álvaro Obregón
1849,Rancho del Carmen del Pueblo San Bartolo Ameyalco,Álvaro Obregón
1900,Jardines del Pedregal,Álvaro Obregón
1904,San Jerónimo Aculco,Álvaro Obregón
3000,Piedad Narvarte,Benito Juárez
3010,Atenor Salas,Benito Juárez
3020,Narvarte Poniente,Benito Juárez
3023,Narvarte Oriente,Benito Juárez
3100,Del Valle Centro,Benito Juárez
3100,Insurgentes San Borja,Benito Juárez
3103,Del Valle Norte,Benito Juárez
3104,Del Valle Sur,Benito Juárez
